volunteer_id,year,college_code,college_name,major_name,candidate_count,candidate_majors,curated_chosen_major,curated_resolution_status
1117-011,2023,1117,北京化工大学(“双一流”建设高校),"化学(化学,生工双学士学位)",3,化学; 化学(基础拔尖); 化学工程与工艺,,
1120-002,2023,1120,北京建筑大学,土木工程,3,土木工程(实验班); 土木工程(智慧城市地下工程); 土木工程(智慧城市道桥工程),,
1121-008,2023,1121,北京交通大学(“双一流”建设高校),理科试验班,3,理科试验班(数学与统计); 理科试验班(智能光电与纳米技术); 理科试验班类(詹天佑本博直升试点班),,
1121-008,2024,1121,北京交通大学(“双一流”建设高校),理科试验班,4,理科试验班(数学与统计); 理科试验班(智能光电与纳米技术); 理科试验班类(詹天佑试点班信息类); 理科试验班类(詹天佑试点班智能类),,
1128-006,2023,1128,北京林业大学(“双一流”建设高校),林学(与林经专业双学士学位项目),2,林学类; 林学类(梁希实验班),,
1128-006,2024,1128,北京林业大学(“双一流”建设高校),林学(与林经专业双学士学位项目),2,林学类; 林学类(梁希实验班),,
1128-006,2025,1128,北京林业大学(“双一流”建设高校),林学(与林经专业双学士学位项目),2,林学类; 林学类(梁希实验班),,
1128-035,2023,1128,北京林业大学(“双一流”建设高校),英语(语智实验班),2,商务英语; 英语,,
1128-035,2024,1128,北京林业大学(“双一流”建设高校),英语(语智实验班),2,商务英语; 英语,,
1128-035,2025,1128,北京林业大学(“双一流”建设高校),英语(语智实验班),2,商务英语; 英语,,
1133-014,2025,1133,北京外国语大学(“双一流”建设高校),德语,2,德语(双学位); 次德语,,
1142-009,2023,1142,北京语言大学,翻译(AI翻译实验班),2,翻译(本地化); 翻译(汉英法),,
1142-009,2024,1142,北京语言大学,翻译(AI翻译实验班),3,翻译(本地化); 翻译(汉英法); 翻译(英语),,
1143-018,2023,1143,北京中医药大学(“双一流”建设高校),英语(医学方向),2,英语(中医药国际传播); 英语(医学),,
1143-018,2024,1143,北京中医药大学(“双一流”建设高校),英语(医学方向),2,英语(中医药国际传播); 英语(医学),,
1143-018,2025,1143,北京中医药大学(“双一流”建设高校),英语(医学方向),2,英语(中医药国际传播); 英语(医学),,
1154-023,2024,1154,中国地质大学(北京)(“双一流”建设高校),经济学(与资勘专业双学士学位),1,次经济学,经济学类,not_unique
1160-003,2024,1160,中国石油大学(北京)(“双一流”建设高校),油气储运工程,2,油气储运工程,油气储运工程,not_unique
1160-004,2024,1160,中国石油大学(北京)(“双一流”建设高校),新能源科学与工程,2,新能源科学与工程,新能源科学与工程,not_unique
1160-005,2024,1160,中国石油大学(北京)(“双一流”建设高校),自动化,3,机械设计制造及其自动化; 自动化,自动化,not_unique
1213-506,2023,1213,天津商务职业学院,软件技术(欧美软件测试),2,软件技术(欧美软件外包方向); 软件技术(欧美软件测试方向),,
1223-005,2023,1223,天津科技大学,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
1223-005,2024,1223,天津科技大学,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
1223-005,2025,1223,天津科技大学,自动化,2,机械设计制造及其自动化; 电气工程及其自动化,,
1246-013,2023,1246,天津中医药大学(“双一流”建设高校),药学,4,中药学(拔尖学生培养基地班); 中药学类; 临床药学; 药学类,,
1246-013,2024,1246,天津中医药大学(“双一流”建设高校),药学,5,中药学(拔尖学生培养基地班); 中药学类; 临床药学; 临床药学(中外合作办学); 药学类,,
1246-013,2025,1246,天津中医药大学(“双一流”建设高校),药学,5,中药学(拔尖学生培养基地班); 中药学类; 临床药学; 临床药学(中外合作办学); 药学类,,
1329-003,2023,1329,华北理工大学,能源化学工程,2,化学; 化学(中外合作办学),,
1329-003,2024,1329,华北理工大学,能源化学工程,2,化学; 化学(中外合作办学),,
1329-003,2025,1329,华北理工大学,能源化学工程,2,化学; 化学(中外合作办学),,
1331-005,2023,1331,河北医科大学,中西医临床医学,2,临床医学; 临床医学(5+3一体化),,
1349-024,2023,1349,燕山大学,机械设计制造及其自动化(中外合作办学),4,机械设计制造及其自动化(1+3模式); 机械设计制造及其自动化(4+0模式); 自动化(1+3模式); 自动化(4+0模式),,
1349-025,2023,1349,燕山大学,自动化(中外合作办学),5,机械设计制造及其自动化(1+3模式); 机械设计制造及其自动化(4+0模式); 电气工程及其自动化; 自动化(1+3模式); 自动化(4+0模式),,
1408-001,2023,1408,山西农业大学,农学,2,"农学(卓越人才实验班); 农学[含农学,农学(功能农业方向)]",,
1408-008,2023,1408,山西农业大学,林学(森林康养方向),2,林学(卓越人才实验班); 林学类,,
1408-008,2024,1408,山西农业大学,林学(森林康养方向),2,林学(卓越人才培养实验班); 林学类,,
