volunteer_id,year,college_code,college_name,major_name,history_college_name,history_major_name,history_lowest_score,history_lowest_rank,history_source_page,match_level
3146-005,2025,3146,上海师范大学天华学院,应用心理学(中外合作办学),上海师范大学天华学院( 独立学院),应用心理学,531,135964.0,126,base
3146-013,2025,3146,上海师范大学天华学院,国际商务(双语教学),上海师范大学天华学院( 独立学院),国际商务,535,131317.0,126,base
3151-018,2023,3151,上海外国语大学(“双一流”建设高校),翻译(多元方向),上海外国语大学,翻译(卓越外语人才计划),662,7187.0,120,base
3151-019,2023,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),上海外国语大学,商务英语,659,8657.0,120,base
3151-019,2024,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),上海外国语大学,商务英语,655,10420.0,124,base
3151-019,2025,3151,上海外国语大学(“双一流”建设高校),商务英语(双学位),上海外国语大学,商务英语,652,10346.0,126,base
3151-020,2023,3151,上海外国语大学(“双一流”建设高校),法语(双学位),上海外国语大学,法语(英语),657,9463.0,120,base
3151-020,2024,3151,上海外国语大学(“双一流”建设高校),法语(双学位),上海外国语大学,法语,654,10820.0,124,base
3151-020,2025,3151,上海外国语大学(“双一流”建设高校),法语(双学位),上海外国语大学,法语,652,9974.0,126,base
3152-003,2023,3152,上海外国语大学贤达经济人文学院,德语(双语班),上海外国语大学贤达经济人文学院( 独立学院),德语(商务方向),507,154662.0,121,base
3152-003,2024,3152,上海外国语大学贤达经济人文学院,德语(双语班),上海外国语大学贤达经济人文学院( 独立学院),德语(商务方向),524,141995.0,124,base
3152-003,2025,3152,上海外国语大学贤达经济人文学院,德语(双语班),上海外国语大学贤达经济人文学院( 独立学院),德语(商务方向),525,143243.0,127,base
3152-016,2023,3152,上海外国语大学贤达经济人文学院,新闻学(双语班),上海外国语大学贤达经济人文学院( 独立学院),新闻学(新媒体方向),535,123281.0,121,base
3152-016,2024,3152,上海外国语大学贤达经济人文学院,新闻学(双语班),上海外国语大学贤达经济人文学院( 独立学院),新闻学(新媒体方向),548,113848.0,124,base
3152-016,2025,3152,上海外国语大学贤达经济人文学院,新闻学(双语班),上海外国语大学贤达经济人文学院( 独立学院),新闻学(新媒体方向),546,117677.0,127,base
3152-022,2023,3152,上海外国语大学贤达经济人文学院,西班牙语(商务方向),上海外国语大学贤达经济人文学院( 独立学院),西班牙语(双语班),514,147669.0,121,base
3152-022,2024,3152,上海外国语大学贤达经济人文学院,西班牙语(商务方向),上海外国语大学贤达经济人文学院( 独立学院),西班牙语(双语班),525,140711.0,124,base
3152-025,2025,3152,上海外国语大学贤达经济人文学院,金融学,上海外国语大学贤达经济人文学院( 独立学院),金融学(全英语教学班),533,133211.0,127,base
3155-514,2024,3155,上海行健职业学院,学前教育,上海行健职业学院,学前教育(高本贯通),513,154805.0,125,base
3159-001,2025,3159,上海应用技术大学,材料科学与工程(卓越工程师计划试点班),上海应用技术大学,材料科学与工程,588,66133.0,127,base
3159-003,2025,3159,上海应用技术大学,机械设计制造及其自动化(卓越工程师计划试点班),上海应用技术大学,机械设计制造及其自动化,602,49560.0,128,base
3159-005,2025,3159,上海应用技术大学,电气工程及其自动化(卓越工程师计划试点班),上海应用技术大学,电气工程及其自动化,598,53709.0,128,base
3159-008,2025,3159,上海应用技术大学,软件工程(卓越工程师计划试点班),上海应用技术大学,软件工程,600,51841.0,128,base
3206-004,2024,3206,东南大学(“双一流”建设高校),未来机器人(未来技术班),东南大学,未来机器人,675,3412.0,129,base
3209-020,2023,3209,河海大学(“双一流”建设高校),农业水利工程(产教融合卓越班),河海大学,农业水利工程,648,13583.0,126,base
3209-020,2024,3209,河海大学(“双一流”建设高校),农业水利工程(产教融合卓越班),河海大学,农业水利工程,643,16419.0,130,base
3209-020,2025,3209,河海大学(“双一流”建设高校),农业水利工程(产教融合卓越班),河海大学,农业水利工程,636,18816.0,133,base
3209-021,2023,3209,河海大学(“双一流”建设高校),海洋科学(科教融汇菁英班),河海大学,海洋科学,642,17285.0,126,base
3209-021,2024,3209,河海大学(“双一流”建设高校),海洋科学(科教融汇菁英班),河海大学,海洋科学,635,21253.0,130,base
3209-021,2025,3209,河海大学(“双一流”建设高校),海洋科学(科教融汇菁英班),河海大学,海洋科学,633,21010.0,133,base
3209-028,2023,3209,河海大学(“双一流”建设高校),工程管理(数智创新班),河海大学,工程管理,646,14695.0,126,base
3209-028,2024,3209,河海大学(“双一流”建设高校),工程管理(数智创新班),河海大学,工程管理,639,18881.0,130,base
3209-031,2023,3209,河海大学(“双一流”建设高校),人力资源管理(产教融合卓越班),河海大学,人力资源管理,649,13278.0,126,base
3209-031,2024,3209,河海大学(“双一流”建设高校),人力资源管理(产教融合卓越班),河海大学,人力资源管理,650,12780.0,130,base
3209-031,2025,3209,河海大学(“双一流”建设高校),人力资源管理(产教融合卓越班),河海大学,人力资源管理,646,13153.0,133,base
3209-036,2023,3209,河海大学(“双一流”建设高校),法学(产教融合卓越班),河海大学,法学,656,9893.0,126,base
3209-036,2024,3209,河海大学(“双一流”建设高校),法学(产教融合卓越班),河海大学,法学,656,9618.0,130,base
3209-036,2025,3209,河海大学(“双一流”建设高校),法学(产教融合卓越班),河海大学,法学,654,9373.0,133,base
3209-037,2023,3209,河海大学(“双一流”建设高校),英语(产教融合卓越班),河海大学,英语,646,14822.0,126,base
3209-037,2024,3209,河海大学(“双一流”建设高校),英语(产教融合卓越班),河海大学,英语,649,13254.0,130,base
3209-038,2024,3209,河海大学(“双一流”建设高校),工程力学(徐芝纶拔尖人才培养班),河海大学,工程力学,646,14403.0,130,base
3209-038,2025,3209,河海大学(“双一流”建设高校),工程力学(徐芝纶拔尖人才培养班),河海大学,工程力学,642,15574.0,133,base
3209-040,2025,3209,河海大学(“双一流”建设高校),水利类(大禹拔尖人才培养班),河海大学,水利类(大禹班),647,12310.0,133,base
3209-048,2023,3209,河海大学(“双一流”建设高校),物联网工程(产教融合卓越班),河海大学,物联网工程,651,12240.0,127,base
3209-048,2024,3209,河海大学(“双一流”建设高校),物联网工程(产教融合卓越班),河海大学,物联网工程,651,11868.0,130,base
3209-048,2025,3209,河海大学(“双一流”建设高校),物联网工程(产教融合卓越班),河海大学,物联网工程,646,12944.0,133,base
3209-053,2025,3209,河海大学(“双一流”建设高校),材料科学与工程(产教融合卓越班),河海大学,材料科学与工程,636,19406.0,133,base
3209-055,2023,3209,河海大学(“双一流”建设高校),智能制造工程(未来技术班),河海大学,智能制造工程,650,12825.0,126,base
3216-043,2023,3216,江南大学(“双一流”建设高校),汉语言文学,江南大学,汉语言文学(师范),650,12732.0,128,base
3216-043,2024,3216,江南大学(“双一流”建设高校),汉语言文学,江南大学,汉语言文学(师范),651,12297.0,132,base
3216-044,2023,3216,江南大学(“双一流”建设高校),人工智能教育,江南大学,人工智能,648,13674.0,128,contains_unique
3216-044,2024,3216,江南大学(“双一流”建设高校),人工智能教育,江南大学,人工智能,647,14250.0,132,contains_unique
3216-044,2025,3216,江南大学(“双一流”建设高校),人工智能教育,江南大学,人工智能,642,15126.0,135,contains_unique
3216-053,2023,3216,江南大学(“双一流”建设高校),大数据管理与应用(中外合作办学),江南大学,大数据管理与应用,647,14442.0,128,base
3216-053,2024,3216,江南大学(“双一流”建设高校),大数据管理与应用(中外合作办学),江南大学,大数据管理与应用,644,15704.0,132,base
3217-010,2023,3217,无锡太湖学院,英语(数智人文创新班),无锡太湖学院( 民办学校),英语,524,136289.0,128,base
3217-010,2024,3217,无锡太湖学院,英语(数智人文创新班),无锡太湖学院( 民办学校),英语,543,119725.0,132,base
3217-010,2025,3217,无锡太湖学院,英语(数智人文创新班),无锡太湖学院( 民办学校),商务英语,545,118534.0,135,contains_unique
3224-014,2023,3224,江苏理工学院,应用化学,江苏理工学院,应用化学(师范),576,77606.0,130,base
3238-007,2023,3238,南京财经大学,商务英语,南京财经大学,英语,619,34947.0,132,contains_unique
3238-007,2024,3238,南京财经大学,商务英语,南京财经大学,英语,621,32696.0,136,contains_unique
